time,y
1433195051.100,0.007
1433195051.200,0.007
1433195051.300,0.007
1433195051.400,0.006
1433195051.500,0.006
1433195051.600,0.006
1433195051.700,0.005
1433195051.800,0.005
1433195051.900,0.005
1433195052.000,0.005
1433195052.100,0.005
1433195052.200,0.005
1433195052.300,0.005
1433195052.400,0.005
1433195052.500,0.005
1433195052.600,0.004
1433195052.700,0.004
1433195052.800,0.004
1433195052.900,0.004
1433195053.000,0.004
1433195053.100,0.004
1433195053.200,0.004
1433195053.300,0.004
1433195053.400,0.004
1433195053.500,0.004
1433195053.600,0.004
1433195053.700,0.004
1433195053.800,0.004
1433195053.900,0.004
1433195054.000,0.004
